"","mes","año","Pp"
"1","01","1979",33
"2","01","1980",71
"3","01","1981",78
"4","01","1982",92
"5","01","1983",29
"6","01","1985",60
"7","02","1979",81
"8","02","1980",26
"9","02","1981",119
"10","02","1982",108
"11","02","1983",42
"12","02","1985",77
"13","03","1979",76
"14","03","1980",59
"15","03","1981",23
"16","03","1982",70
"17","03","1983",59
"18","03","1985",60
"19","04","1979",13
"20","04","1980",3
"21","04","1981",5
"22","04","1982",23
"23","04","1983",14
"24","04","1985",32
"25","05","1979",0
"26","05","1980",16
"27","05","1981",1
"28","05","1983",0
"29","05","1985",12
"30","06","1979",1
"31","06","1980",20
"32","06","1981",0
"33","06","1982",7
"34","06","1983",8
"35","06","1984",21
"36","07","1979",5
"37","07","1980",1
"38","07","1982",2
"39","07","1983",4
"40","07","1984",0
"41","08","1978",3
"42","08","1979",4
"43","08","1980",0
"44","08","1982",33
"45","08","1983",4
"46","08","1984",0
"47","08","1985",7
"48","09","1978",37
"49","09","1979",22
"50","09","1980",15
"51","09","1982",33
"52","09","1983",35
"53","09","1984",12
"54","1","1979",8
"55","1","1980",18
"56","1","1981",42
"57","1","1982",23
"58","1","1983",27
"59","1","1985",18
"60","10","1978",56
"61","10","1979",26
"62","10","1980",112
"63","10","1982",102
"64","10","1983",48
"65","10","1984",125
"66","11","1978",57
"67","11","1979",35
"68","11","1980",117
"69","11","1982",116
"70","11","1983",35
"71","11","1984",117
"72","12","1978",60
"73","12","1979",47
"74","12","1980",70
"75","12","1982",100
"76","12","1983",152
"77","12","1984",79
"78","2","1979",87
"79","2","1980",34
"80","2","1981",117
"81","2","1982",84
"82","2","1983",0
"83","2","1985",31
"84","3","1979",65
"85","3","1980",59
"86","3","1981",52
"87","3","1982",25
"88","3","1983",35
"89","3","1985",55
"90","4","1979",40
"91","4","1980",26
"92","4","1981",31
"93","4","1982",26
"94","4","1983",60
"95","4","1985",40
"96","5","1979",11
"97","5","1980",16
"98","5","1981",0
"99","5","1983",17
"100","5","1985",10
"101","6","1979",9
"102","6","1980",1
"103","6","1981",0
"104","6","1982",0
"105","6","1983",0
"106","6","1984",0
"107","7","1979",6
"108","7","1980",21
"109","7","1982",0
"110","7","1983",0
"111","7","1984",7
"112","8","1978",3
"113","8","1979",11
"114","8","1980",0
"115","8","1982",5
"116","8","1983",8
"117","8","1984",0
"118","8","1985",0
"119","9","1978",18
"120","9","1979",8
"121","9","1980",28
"122","9","1982",10
"123","9","1983",33
"124","9","1984",2
